------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.1.2 port 41462
[  2] local 192.168.7.2 port 5001 connected with 192.168.3.2 port 58858
[  3] local 192.168.7.2 port 5001 connected with 192.168.4.2 port 35142
[  4] local 192.168.7.2 port 5001 connected with 192.168.5.2 port 35736
[  5] local 192.168.7.2 port 5001 connected with 192.168.10.2 port 53204
[  6] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 35684
[  7] local 192.168.7.2 port 5001 connected with 192.168.9.2 port 52104
[  8] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 48856
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  2.68 MBytes  22.5 Mbits/sec
[  3] 0.0000-1.0000 sec  3.28 MBytes  27.6 Mbits/sec
[  4] 0.0000-1.0000 sec  2.86 MBytes  24.0 Mbits/sec
[  6] 0.0000-1.0000 sec  7.18 MBytes  60.2 Mbits/sec
[  8] 0.0000-1.0000 sec  3.92 MBytes  32.9 Mbits/sec
[  5] 0.0000-1.0000 sec  8.42 MBytes  70.7 Mbits/sec
[  7] 0.0000-1.0000 sec  10.4 MBytes  87.5 Mbits/sec
[  1] 0.0000-1.0000 sec  1.27 MBytes  10.6 Mbits/sec
[  2] 1.0000-2.0000 sec  2.94 MBytes  24.6 Mbits/sec
[  4] 1.0000-2.0000 sec  2.41 MBytes  20.2 Mbits/sec
[  6] 1.0000-2.0000 sec  7.66 MBytes  64.3 Mbits/sec
[  8] 1.0000-2.0000 sec  4.25 MBytes  35.7 Mbits/sec
[  7] 1.0000-2.0000 sec  10.6 MBytes  89.2 Mbits/sec
[  3] 1.0000-2.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  1] 1.0000-2.0000 sec  1.08 MBytes  9.08 Mbits/sec
[  5] 1.0000-2.0000 sec  8.92 MBytes  74.9 Mbits/sec
[  2] 2.0000-3.0000 sec  3.57 MBytes  29.9 Mbits/sec
[  6] 2.0000-3.0000 sec  7.65 MBytes  64.2 Mbits/sec
[  3] 2.0000-3.0000 sec   830 KBytes  6.80 Mbits/sec
[  4] 2.0000-3.0000 sec  2.51 MBytes  21.0 Mbits/sec
[  1] 2.0000-3.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  5] 2.0000-3.0000 sec  9.24 MBytes  77.5 Mbits/sec
[  8] 2.0000-3.0000 sec  3.72 MBytes  31.2 Mbits/sec
[  7] 2.0000-3.0000 sec  10.6 MBytes  88.5 Mbits/sec
