------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.3.2 port 42566
[  2] local 192.168.6.2 port 5001 connected with 192.168.1.2 port 53398
[  3] local 192.168.6.2 port 5001 connected with 192.168.2.2 port 36926
[  4] local 192.168.6.2 port 5001 connected with 192.168.7.2 port 37578
[  5] local 192.168.6.2 port 5001 connected with 192.168.9.2 port 45982
[  6] local 192.168.6.2 port 5001 connected with 192.168.8.2 port 35442
[  7] local 192.168.6.2 port 5001 connected with 192.168.5.2 port 52198
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  2.93 MBytes  24.5 Mbits/sec
[  4] 0.0000-1.0000 sec  4.43 MBytes  37.1 Mbits/sec
[  1] 0.0000-1.0000 sec   988 KBytes  8.10 Mbits/sec
[  5] 0.0000-1.0000 sec  1.75 MBytes  14.7 Mbits/sec
[  6] 0.0000-1.0000 sec   482 KBytes  3.95 Mbits/sec
[  3] 0.0000-1.0000 sec   385 KBytes  3.15 Mbits/sec
[  7] 0.0000-1.0000 sec   441 KBytes  3.61 Mbits/sec
[  2] 1.0000-2.0000 sec  1.99 MBytes  16.7 Mbits/sec
[  1] 1.0000-2.0000 sec   949 KBytes  7.77 Mbits/sec
[  3] 1.0000-2.0000 sec   293 KBytes  2.40 Mbits/sec
[  4] 1.0000-2.0000 sec  5.43 MBytes  45.6 Mbits/sec
[  5] 1.0000-2.0000 sec  1.95 MBytes  16.4 Mbits/sec
[  6] 1.0000-2.0000 sec   348 KBytes  2.85 Mbits/sec
[  7] 1.0000-2.0000 sec   304 KBytes  2.49 Mbits/sec
[  2] 2.0000-3.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  3] 2.0000-3.0000 sec   298 KBytes  2.44 Mbits/sec
[  4] 2.0000-3.0000 sec  6.04 MBytes  50.7 Mbits/sec
[  5] 2.0000-3.0000 sec  2.05 MBytes  17.2 Mbits/sec
[  7] 2.0000-3.0000 sec   300 KBytes  2.46 Mbits/sec
[  1] 2.0000-3.0000 sec  1.04 MBytes  8.75 Mbits/sec
[  6] 2.0000-3.0000 sec   318 KBytes  2.61 Mbits/sec
[  3] 3.0000-4.0000 sec   272 KBytes  2.22 Mbits/sec
[  5] 3.0000-4.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  2] 3.0000-4.0000 sec  1.10 MBytes  9.22 Mbits/sec
[  4] 3.0000-4.0000 sec  5.21 MBytes  43.7 Mbits/sec
[  1] 3.0000-4.0000 sec   938 KBytes  7.68 Mbits/sec
[  6] 3.0000-4.0000 sec   266 KBytes  2.18 Mbits/sec
[  7] 3.0000-4.0000 sec   212 KBytes  1.74 Mbits/sec
[  2] 4.0000-5.0000 sec  1.56 MBytes  13.1 Mbits/sec
[  1] 4.0000-5.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  3] 4.0000-5.0000 sec   386 KBytes  3.16 Mbits/sec
[  4] 4.0000-5.0000 sec  6.11 MBytes  51.2 Mbits/sec
[  5] 4.0000-5.0000 sec  2.54 MBytes  21.3 Mbits/sec
[  6] 4.0000-5.0000 sec   393 KBytes  3.22 Mbits/sec
[  7] 4.0000-5.0000 sec   304 KBytes  2.49 Mbits/sec
[  2] 5.0000-6.0000 sec  1.52 MBytes  12.8 Mbits/sec
[  1] 5.0000-6.0000 sec  1.32 MBytes  11.1 Mbits/sec
[  3] 5.0000-6.0000 sec   349 KBytes  2.86 Mbits/sec
[  4] 5.0000-6.0000 sec  5.26 MBytes  44.1 Mbits/sec
[  5] 5.0000-6.0000 sec  2.20 MBytes  18.5 Mbits/sec
[  7] 5.0000-6.0000 sec   211 KBytes  1.73 Mbits/sec
[  6] 5.0000-6.0000 sec   368 KBytes  3.01 Mbits/sec
[  2] 6.0000-7.0000 sec  1.47 MBytes  12.3 Mbits/sec
[  1] 6.0000-7.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  4] 6.0000-7.0000 sec  5.31 MBytes  44.5 Mbits/sec
[  5] 6.0000-7.0000 sec  2.20 MBytes  18.4 Mbits/sec
[  6] 6.0000-7.0000 sec   396 KBytes  3.24 Mbits/sec
[  3] 6.0000-7.0000 sec   361 KBytes  2.95 Mbits/sec
[  7] 6.0000-7.0000 sec   242 KBytes  1.98 Mbits/sec
[  2] 7.0000-8.0000 sec  1.33 MBytes  11.1 Mbits/sec
[  1] 7.0000-8.0000 sec  1.41 MBytes  11.9 Mbits/sec
[  4] 7.0000-8.0000 sec  5.55 MBytes  46.5 Mbits/sec
[  6] 7.0000-8.0000 sec   376 KBytes  3.08 Mbits/sec
[  3] 7.0000-8.0000 sec   324 KBytes  2.65 Mbits/sec
[  5] 7.0000-8.0000 sec  2.13 MBytes  17.9 Mbits/sec
[  7] 7.0000-8.0000 sec   225 KBytes  1.84 Mbits/sec
[  1] 8.0000-9.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  2] 8.0000-9.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  4] 8.0000-9.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  5] 8.0000-9.0000 sec  2.19 MBytes  18.4 Mbits/sec
[  6] 8.0000-9.0000 sec   368 KBytes  3.01 Mbits/sec
[  3] 8.0000-9.0000 sec   324 KBytes  2.65 Mbits/sec
[  7] 8.0000-9.0000 sec   252 KBytes  2.06 Mbits/sec
[  2] 9.0000-10.0000 sec  1.01 MBytes  8.49 Mbits/sec
[  1] 9.0000-10.0000 sec  1.21 MBytes  10.2 Mbits/sec
[  4] 9.0000-10.0000 sec  4.73 MBytes  39.7 Mbits/sec
[  5] 9.0000-10.0000 sec  2.12 MBytes  17.8 Mbits/sec
[  6] 9.0000-10.0000 sec   277 KBytes  2.27 Mbits/sec
[  3] 9.0000-10.0000 sec   246 KBytes  2.02 Mbits/sec
