------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.1.2 port 38290
[  2] local 192.168.6.2 port 5001 connected with 192.168.2.2 port 48316
[  3] local 192.168.6.2 port 5001 connected with 192.168.8.2 port 56688
[  4] local 192.168.6.2 port 5001 connected with 192.168.3.2 port 48492
[  5] local 192.168.6.2 port 5001 connected with 192.168.4.2 port 49708
[  6] local 192.168.6.2 port 5001 connected with 192.168.7.2 port 33196
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  2] 0.0000-1.0000 sec  6.97 MBytes  58.5 Mbits/sec
[  3] 0.0000-1.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  4] 0.0000-1.0000 sec  1.83 MBytes  15.3 Mbits/sec
[  5] 0.0000-1.0000 sec   383 KBytes  3.14 Mbits/sec
[  6] 0.0000-1.0000 sec   581 KBytes  4.76 Mbits/sec
[  2] 1.0000-2.0000 sec  7.44 MBytes  62.4 Mbits/sec
[  3] 1.0000-2.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  1] 1.0000-2.0000 sec  1.10 MBytes  9.26 Mbits/sec
[  4] 1.0000-2.0000 sec  1.94 MBytes  16.3 Mbits/sec
[  5] 1.0000-2.0000 sec   290 KBytes  2.37 Mbits/sec
[  6] 1.0000-2.0000 sec   478 KBytes  3.92 Mbits/sec
[  2] 2.0000-3.0000 sec  6.99 MBytes  58.6 Mbits/sec
[  3] 2.0000-3.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  1] 2.0000-3.0000 sec  1.27 MBytes  10.7 Mbits/sec
[  4] 2.0000-3.0000 sec  2.09 MBytes  17.5 Mbits/sec
[  6] 2.0000-3.0000 sec   494 KBytes  4.04 Mbits/sec
[  5] 2.0000-3.0000 sec   346 KBytes  2.84 Mbits/sec
[  2] 3.0000-4.0000 sec  6.94 MBytes  58.2 Mbits/sec
[  1] 3.0000-4.0000 sec  1.38 MBytes  11.5 Mbits/sec
[  3] 3.0000-4.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  6] 3.0000-4.0000 sec   516 KBytes  4.23 Mbits/sec
[  5] 3.0000-4.0000 sec   310 KBytes  2.54 Mbits/sec
[  4] 3.0000-4.0000 sec  2.25 MBytes  18.8 Mbits/sec
[  2] 4.0000-5.0000 sec  7.61 MBytes  63.9 Mbits/sec
[  1] 4.0000-5.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  3] 4.0000-5.0000 sec  8.96 MBytes  75.2 Mbits/sec
[  4] 4.0000-5.0000 sec  5.26 MBytes  44.1 Mbits/sec
[  6] 4.0000-5.0000 sec   798 KBytes  6.53 Mbits/sec
[  5] 4.0000-5.0000 sec   496 KBytes  4.07 Mbits/sec
[  1] 5.0000-6.0000 sec  2.28 MBytes  19.1 Mbits/sec
[  2] 5.0000-6.0000 sec  9.07 MBytes  76.1 Mbits/sec
[  3] 5.0000-6.0000 sec  9.00 MBytes  75.5 Mbits/sec
[  4] 5.0000-6.0000 sec  7.73 MBytes  64.8 Mbits/sec
[  6] 5.0000-6.0000 sec  1018 KBytes  8.34 Mbits/sec
[  5] 5.0000-6.0000 sec   602 KBytes  4.93 Mbits/sec
[  2] 6.0000-7.0000 sec  8.22 MBytes  69.0 Mbits/sec
[  3] 6.0000-7.0000 sec  9.35 MBytes  78.4 Mbits/sec
[  4] 6.0000-7.0000 sec  7.71 MBytes  64.6 Mbits/sec
[  1] 6.0000-7.0000 sec  3.17 MBytes  26.6 Mbits/sec
[  6] 6.0000-7.0000 sec   977 KBytes  8.00 Mbits/sec
[  5] 6.0000-7.0000 sec   749 KBytes  6.14 Mbits/sec
[  2] 7.0000-8.0000 sec  7.86 MBytes  65.9 Mbits/sec
[  3] 7.0000-8.0000 sec  9.30 MBytes  78.0 Mbits/sec
[  1] 7.0000-8.0000 sec  3.49 MBytes  29.3 Mbits/sec
[  4] 7.0000-8.0000 sec  7.43 MBytes  62.3 Mbits/sec
[  5] 7.0000-8.0000 sec  1000 KBytes  8.19 Mbits/sec
[  6] 7.0000-8.0000 sec   949 KBytes  7.77 Mbits/sec
[  2] 8.0000-9.0000 sec  8.00 MBytes  67.1 Mbits/sec
[  1] 8.0000-9.0000 sec  3.39 MBytes  28.5 Mbits/sec
[  3] 8.0000-9.0000 sec  9.32 MBytes  78.2 Mbits/sec
[  4] 8.0000-9.0000 sec  6.91 MBytes  58.0 Mbits/sec
[  6] 8.0000-9.0000 sec   912 KBytes  7.47 Mbits/sec
[  5] 8.0000-9.0000 sec  1.18 MBytes  9.88 Mbits/sec
[  2] 9.0000-10.0000 sec  8.02 MBytes  67.3 Mbits/sec
[  1] 9.0000-10.0000 sec  3.36 MBytes  28.1 Mbits/sec
[  3] 9.0000-10.0000 sec  9.32 MBytes  78.2 Mbits/sec
[  4] 9.0000-10.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  5] 9.0000-10.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  6] 9.0000-10.0000 sec   884 KBytes  7.24 Mbits/sec
[  2] 0.0000-10.0614 sec  77.6 MBytes  64.7 Mbits/sec
[  3] 0.0000-10.1163 sec  93.9 MBytes  77.8 Mbits/sec
[  1] 0.0000-10.1406 sec  23.6 MBytes  19.5 Mbits/sec
[  4] 10.0000-10.6075 sec  3.09 MBytes  42.7 Mbits/sec
[  4] 0.0000-10.6075 sec  52.6 MBytes  41.6 Mbits/sec
[  6] 10.0000-10.9585 sec   930 KBytes  7.95 Mbits/sec
[  6] 0.0000-10.9585 sec  8.34 MBytes  6.38 Mbits/sec
[  5] 10.0000-11.0000 sec  2.48 MBytes  20.8 Mbits/sec
[  5] 0.0000-11.0172 sec  9.19 MBytes  7.00 Mbits/sec
